layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
168,Linear,0.04427002953204029,768,3072,4.0,6.103974288529091,12.018126851423323,1.0092988752839462,True,93.08976745605469,dense,12.105604489970894,3.9829794427625007,1.968901945410946,atom.vision.vit.encoder.layer.8.output.dense,768,9615.667617470026,768,72,0,1,0.6015091384034509,93.08976745605469,103.29457125359495,success,9.648303985595703,0.38773223757743835,under-trained,0,93.08976745605469,24.60744285583496
175,Linear,0.06187815622149384,768,768,1.0,3.0419987813518787,4.515293407372491,0.9332703345074402,True,30.501272201538086,dense,5.245117624950389,3.2358768960049415,1.484317954054496,atom.vision.vit.encoder.layer.9.attention.attention.query,768,1721.3805677233381,768,97,1,1,0.20733356318531537,30.501272201538086,56.43635309206985,success,5.522795677185059,0.0003536326694302261,,1,30.501272201538086,5.064155578613281
176,Linear,0.02593705467394064,768,768,1.0,4.791515541596155,7.31450501496814,0.9472384466867597,True,33.616580963134766,dense,7.406702703392418,3.2381550392653944,1.526553540621831,atom.vision.vit.encoder.layer.9.attention.attention.key,768,1730.4339985015747,768,50,0,1,0.5362012700873653,33.616580963134766,51.47560962250251,success,5.797980785369873,0.0017519951798021793,,0,33.616580963134766,7.30418062210083
177,Linear,0.059321672172391315,768,768,1.0,6.121889312780147,8.983263488655803,0.9486812336354766,True,29.335973739624023,dense,9.041120188911991,3.2575885333255448,1.4674005081898833,atom.vision.vit.encoder.layer.9.attention.attention.value,768,1809.6247746465601,768,18,0,1,1.207240888517916,29.335973739624023,61.68620106863215,success,5.416269302368164,0.0012736425269395113,under-trained,0,29.335973739624023,10.647937774658203
180,Linear,0.07468347808205089,768,768,1.0,5.565696599876189,8.132791673956037,0.9631209827355374,True,28.922456741333008,dense,8.177924082481693,3.2507136827797884,1.4612351801815706,atom.vision.vit.encoder.layer.9.attention.output.dense,768,1781.2040862787062,768,80,0,1,0.5104603980981408,28.922456741333008,61.58550437844348,success,5.377960205078125,0.0018812507623806596,,0,28.922456741333008,5.906404495239258
183,Linear,0.02334309159507053,768,3072,4.0,4.455679110545896,12.680137317817977,0.9682357889882814,True,701.1923828125,dense,12.680156652761077,3.9007404873465608,2.8458371896230306,atom.vision.vit.encoder.layer.9.intermediate.dense,768,7956.83747535944,768,121,0,1,0.3141526464132633,701.1923828125,11.347581163737644,success,26.480037689208984,0.427752286195755,,0,701.1923828125,15.73371696472168
186,Linear,0.057021203696774214,768,3072,4.0,7.964655633515328,15.993153118733574,1.0086667997172025,True,101.86280822753906,dense,16.0165185452479,4.082660327297393,2.008015644949453,atom.vision.vit.encoder.layer.9.output.dense,768,12096.516642972827,768,51,0,1,0.9752468575724994,101.86280822753906,118.7530253039154,success,10.092710494995117,0.41980281472206116,under-trained,0,101.86280822753906,34.320335388183594
193,Linear,0.03403192994021875,768,768,1.0,4.262254884216109,6.7085976111195915,0.9461962302874473,True,37.4934196472168,dense,6.83097181922383,3.227549841936178,1.5739550527498314,atom.vision.vit.encoder.layer.10.attention.attention.query,768,1688.689651339426,768,43,1,1,0.49748920590351337,37.4934196472168,45.03962741272069,success,6.123187065124512,6.458123971242458e-05,,1,37.4934196472168,7.321806907653809
194,Linear,0.03361544520983406,768,768,1.0,5.104937578284687,7.714065065604797,0.9550820335842735,True,32.441341400146484,dense,7.767792224433319,3.2239671105049625,1.5110988033269555,atom.vision.vit.encoder.layer.10.attention.attention.key,768,1674.816035963243,768,50,0,1,0.5805258395905173,32.441341400146484,51.62597980475864,success,5.695730209350586,0.0016691259806975722,,0,32.441341400146484,6.600385665893555
195,Linear,0.04294149323049323,768,768,1.0,4.796328348751968,7.194712090376502,0.960146210256465,True,31.626110076904297,dense,7.354515907726745,3.30924160811797,1.5000457781937735,atom.vision.vit.encoder.layer.10.attention.attention.value,768,2038.1756468625736,768,64,0,1,0.47454104359399596,31.626110076904297,64.44597966384107,success,5.623709678649902,0.0006890018121339381,,1,31.626110076904297,7.232445240020752
